naam,trap,loon
C113,24,2488000
C113,25,2488000
C113,26,2488000
C113,27,2588000
D111,0,1321000
D111,1,1346000
D111,2,1372000
D111,3,1397000
D111,4,1397000
D111,5,1397000
D111,6,1448000
D111,7,1448000
D111,8,1448000
D111,9,1499000
D111,10,1499000
D111,11,1499000
D111,12,1545000
D111,13,1545000
D111,14,1545000
D111,15,1601000
D111,16,1601000
D111,17,1601000
D111,18,1652000
D111,19,1652000
D111,20,1652000
D111,21,1703000
D111,22,1703000
D111,23,1703000
D111,24,1754000
D111,25,1821000
D112,0,1408000
D112,1,1433000
D112,2,1459000
D112,3,1484000
D112,4,1484000
D112,5,1484000
D112,6,1535000
D112,7,1535000
D112,8,1535000
D112,9,1591000
D112,10,1591000
D112,11,1591000
D112,12,1642000
D112,13,1642000
D112,14,1642000
D112,15,1693000
D112,16,1693000
D112,17,1693000
D112,18,1744000
D112,19,1744000
D112,20,1744000
D112,21,1795000
D112,22,1795000
D112,23,1795000
D112,24,1856000
D112,25,1856000
D112,26,1856000
D112,27,1918000
D113,0,1510000
D113,1,1535000
D113,2,1561000
D113,3,1591000
D113,4,1591000
D113,5,1591000
D113,6,1642000
D113,7,1642000
D113,8,1642000
D113,9,1693000
D113,10,1693000
D113,11,1693000
D113,12,1744000
D113,13,1744000
D113,14,1744000
D113,15,1795000
D113,16,1795000
D113,17,1795000
D113,18,1846000
D113,19,1846000
D113,20,1846000
D113,21,1892000
D113,22,1892000
D113,23,1892000
D113,24,1958000
D113,25,1958000
D113,26,1958000
D113,27,2020000
D241,0,1693000
D241,1,1719000
D241,2,1744000
D241,3,1770000
D241,4,1770000
D241,5,1770000
D241,6,1821000
D241,7,1821000
D241,8,1821000
D241,9,1867000
D241,10,1867000
D241,11,1867000
D241,12,1918000
D241,13,1918000
D241,14,1918000
D241,15,1969000
D241,16,1969000
D241,17,1969000
D241,18,2045000
D241,19,2045000
D241,20,2045000
D241,21,2152000
D241,22,2152000
D241,23,2152000
D241,24,2253000
D241,25,2253000
D241,26,2253000
D241,27,2353000
D242,0,2101000
D242,1,2127000
D242,2,2152000
D242,3,2178000
D242,4,2178000
D242,5,2178000
D242,6,2228000
D242,7,2228000
D242,8,2228000
D242,9,2278000
D242,10,2278000
D242,11,2278000
D242,12,2328000
D242,13,2328000
D242,14,2328000
D242,15,2378000
D242,16,2378000
D242,17,2378000
D242,18,2428000
D242,19,2428000
D242,20,2428000
D242,21,2473000
D242,22,2473000
D242,23,2473000
D242,24,2523000
D242,25,2523000
D242,26,2523000
D242,27,2573000
D242,28,2573000
D242,29,2573000
D242,30,2643000
